"Str #","Mall Name","Developer","City","ST","ZIP Code","Market Area","Gross SqFt (Lease) ","Sales Area SqFt (Cnstr)","REC Approve Date","Original Opening ","Remodel Date","Lease Expires","Sales Projection","TY TTM Sales","TY Sales PSF","TY TTM Op Inc","TY TTM CF","Sales % ? vs. LY","LY TTM Sales","LY Sales PSF","LY TTM Op Inc","LY TTM CF","TTM R&O","R&O % Sales","Tenant Allowance PSF","Center Type","Cluster Name","Center Rank","Mall GLA","Shop GLA","Mall Sales PSF ","Mall Sales PSF Date ","RM / DM Wishlist","Top Tier ""A""","Forever 21","State/Area","Mills/Outlet","Street","Store Prototype ","Center Cashwrap (Y/N)","Entry Soffit (Y/N)","Cashwrap Soffit (Y/N)","Illuminated Accessory Wall (Y/N)","Illuminated Shoe Wall (Y/N)","Illuminated Window Walls (Y/N)","Floor Finish ","Brite Store Make-Up"
1,"Plaza Camino Real","Westfield Corp.","Carlsbad","CA",92008,"San Diego-Carlsbad-San Marcos, CA MSA","7,097","5,900","4/14/2006","8/15/1975","10/6/2006","6/30/2017","$1,800,000 ","$1,536,936 ","$217 ","($108,959)","($16,206)","-12%","$1,740,239 ","$245 ","$41,259 ","$134,490 ","$313,828 ","20.40%","$0 ","M","Urb/Sub","C","1,137,445","398,514","$339 ","9-Feb",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","No","Vinyl","Partial"
2,"Mission Valley","Westfield Corp.","San Diego","CA",92108,"San Diego-Carlsbad-San Marcos, CA MSA","8,721","7,245","4/14/2006","10/27/1975","10/13/2006","6/30/2017","$3,000,000 ","$2,282,265 ","$262 ","($125,660)","$21,182 ","-7%","$2,449,372 ","$281 ","$122,540 ","$264,000 ","$540,751 ","23.70%","$0 ","M","Urb/Sub","B","1,500,000","527,019","$425 ","8-Aug",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
3,"UTC","Westfield Corp.","San Diego","CA",92122,"San Diego-Carlsbad-San Marcos, CA MSA","7,792","5,932","8/27/2004","11/7/1977","7/22/2005","1/31/2015","$2,500,000 ","$2,388,017 ","$306 ","$5,029 ","$134,830 ","-3%","$2,461,887 ","$316 ","$170,602 ","$301,306 ","$550,464 ","23.10%","$23 ","M","Mall","A","1,058,040","463,614","$674 ","8-Aug",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
4,"Parkway ","Westfield Corp.","El Cajon","CA",92020,"San Diego-Carlsbad-San Marcos, CA MSA","7,164","6,363","3/9/2001","4/1/1981","11/12/2001","6/30/2012","$1,800,000 ","$1,325,917 ","$185 ","($100,573)","($28,656)","-11%","$1,495,409 ","$209 ","$78,807 ","$128,697 ","$346,024 ","26.10%","$0 ","M","Urb/Sub","B","1,071,524","471,760","$400 ","8-Aug",,,"F21",,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
5,"Fashion Valley Mall","Simon","San Diego","CA",92108,"San Diego-Carlsbad-San Marcos, CA MSA","10,080","9,162","8/21/2002","8/7/1981","10/24/2003","1/31/2018","$6,500,000 ","$4,071,784 ","$404 ","($752,871)","($599,628)","-9%","$4,456,468 ","$442 ","($341,373)","($146,546)","$1,712,161 ","42.00%","$0 ","M","Mall","A","1,310,300","369,387","$890 ","9-Dec",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","Yes","Maple Hardwood","Partial"
6,"Plaza Bonita","Westfield Corp.","National City","CA",91950,"San Diego-Carlsbad-San Marcos, CA MSA","6,770","5,277",,"11/4/1981","9/29/2006","1/31/2017","$2,800,000 ","$1,877,958 ","$277 ","($143,975)","($43,796)","-9%","$2,072,608 ","$306 ","$64,390 ","$162,088 ","$482,918 ","25.70%","$24 ","M","Mall","B","822,524","392,000","$400 ","10-May",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
7,"Grossmont Center","CB Richard Ellis","La Mesa","CA",91942,"San Diego-Carlsbad-San Marcos, CA MSA","6,500","5,030","8/6/1998","10/1/1984","3/29/1999","1/10/2015","$0 ","$1,263,613 ","$194 ","$198,555 ","$220,417 ","-12%","$1,433,058 ","$220 ","$338,605 ","$352,048 ","$96,943 ","7.70%","$23 ","M","Urb/Sub","C","950,000","440,000","$340 ","8-Aug",,,,,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
9,"North County Fair ","Westfield Corp.","Escondido","CA",92025,"San Diego-Carlsbad-San Marcos, CA MSA","6,913","4,936","10/16/2007","2/18/1986","8/26/2008","1/31/2019","$2,900,000 ","$1,859,222 ","$269 ","($120,193)","($18,814)","-16%","$2,214,519 ","$320 ","$242,035 ","$357,559 ","$500,183 ","26.90%","$0 ","M","Urb/Sub","B","1,300,000","378,900","$403 ","8-Aug",,,"F21",,,,"Bright Store","Yes","Yes","Yes","Yes","Yes","Yes","Tile","Full"
10,"Westfield MainPlace ","Westfield Corp.","Santa Ana","CA",92705,"Orange County","6,599","5,270","4/15/2003","9/26/1987","8/23/2003","6/30/2013","$2,000,000 ","$1,505,114 ","$228 ","($206,188)","($121,200)","-13%","$1,736,975 ","$263 ","$37,720 ","$116,214 ","$445,522 ","29.60%","$0 ","M","Urb/Sub","C","1,382,980","722,480","$325 ","9-Dec",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Maple Hardwood","Partial"
12,"Chula Vista Center* ","GGP","Chula Vista","CA",91910,"San Diego-Carlsbad-San Marcos, CA MSA","8,300","6,583","9/30/2010","10/27/1988","4/22/2011","1/31/2011","$1,400,000 ","$1,375,388 ","$166 ","$18,527 ","$76,330 ","-2%","$1,406,464 ","$169 ","$116,046 ","$149,981 ","$238,329 ","17.30%","$0 ","M","Urb/Sub","C","880,000","361,700","$315 ","10-Apr",,,,,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
